Var1,accelerator_pedal,speed,mcc_state,fr_telem,crz_pwr_mode,crz_spd_mode,crz_pwr_setpt,crz_spd_setpt,eco,main_telem,foot_brake,regen_brake,motor_current,motor_power,mc_status,driver_eStop,external_eStop,crash,discharge_enable,discharge_enabled,charge_enable,charge_enabled,isolation,mcu_hv_en,mcu_stat_fdbk,mppt_contactor,motor_controller_contactor,low_contactor,dcdc_current,dcdc_deg,use_dcdc,supplemental_current,supplemental_voltage,supplemental_deg,use_supp,est_supplemental_soc,bms_mpio1,park_brake,air_temp,brake_temp,dcdc_temp,mainIO_temp,motor_controller_temp,motor_temp,road_temp,l_turn_led_en,r_turn_led_en,brake_led_en,headlights_led_en,hazards,main_5V_bus,main_12V_bus,main_24V_bus,main_5V_current,main_12V_current,main_24V_current,bms_can_heartbeat,hv_can_heartbeat,mainIO_heartbeat,mcc_can_heartbeat,mppt_can_heartbeat,mppt_mode,mppt_current_out,string1_temp,string2_temp,string3_temp,string1_V_in,string2_V_in,string3_V_in,string1_I_in,string2_I_in,string3_I_in,pack_temp,pack_internal_temp,pack_current,pack_voltage,pack_power,populated_cells,soc,soh,pack_amphours,adaptive_total_capacity,fan_speed,pack_resistance,bms_input_voltage,bps_fault,voltage_failsafe,current_failsafe,relay_failsafe,cell_balancing_active,charge_interlock_failsafe,thermistor_b_value_table_invalid,input_power_supply_failsafe,discharge_limit_enforcement_fault,charger_safety_relay_fault,internal_hardware_fault,internal_heatsink_fault,internal_software_fault,highest_cell_voltage_too_high_fault,lowest_cell_voltage_too_low_fault,pack_too_hot_fault,high_voltage_interlock_signal_fault,precharge_circuit_malfunction,abnormal_state_of_charge_behavior,internal_communication_fault,cell_balancing_stuck_off_fault,weak_cell_fault,low_cell_voltage_fault,open_wiring_fault,current_sensor_fault,highest_cell_voltage_over_5V_fault,cell_asic_fault,weak_pack_fault,fan_monitor_fault,thermistor_fault,external_communication_fault,redundant_power_supply_fault,high_voltage_isolation_fault,input_power_supply_fault,charge_limit_enforcement_fault,cell_group1_voltage,cell_group2_voltage,cell_group3_voltage,cell_group4_voltage,cell_group5_voltage,cell_group6_voltage,cell_group7_voltage,cell_group8_voltage,cell_group9_voltage,cell_group10_voltage,cell_group11_voltage,cell_group12_voltage,cell_group13_voltage,cell_group14_voltage,cell_group15_voltage,cell_group16_voltage,cell_group17_voltage,cell_group18_voltage,cell_group19_voltage,cell_group20_voltage,cell_group21_voltage,cell_group22_voltage,cell_group23_voltage,cell_group24_voltage,cell_group25_voltage,cell_group26_voltage,cell_group27_voltage,cell_group28_voltage,cell_group29_voltage,cell_group30_voltage,cell_group31_voltage,lat,lon,elev
1713134489134,0,24.3330841064453,3,0,0,0,0.0673992708325386,0,1,1,0,0.646886467933655,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.79956078529358,0,1,0.145054951310158,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,52.0899505615234,-10000,-10000,-171.019180297852,0,0,0,0,0,4.97238254547119,12.423529624939,24.6786823272705,0.24175825715065,2.69157528877258,0.0322344340384007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.099998474121,40.0400009155273,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.96230006217956,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489185,0,23.9183158874512,3,0,0,0,0.0664224699139595,0,1,1,0,0.646886467933655,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.61098909378052,0,1,0.145054951310158,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-181.999862670898,0,0,0,0,0,4.9652247428894,12.3791599273682,24.7407341003418,0,0.378754615783691,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.099998474121,40.0400009155273,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.96230006217956,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489235,0,23.9183158874512,3,0,0,0,0.0664224699139595,0,1,1,0,0.646886467933655,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.61098909378052,0,1,0.145054951310158,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4179840087891,24.5545787811279,0.0967033058404922,0.580219864845276,0.201465234160423,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.199996948242,40.0799980163574,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.96230006217956,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489286,0,23.9183158874512,3,0,0,0,0.06593406945467,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.81406617164612,0,1,0.145054951310158,3.22586107254028,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-200.769668579102,0,0,0,0,0,4.97238254547119,12.4290761947632,24.6254959106445,0.0564102604985237,1.70036649703979,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.199996948242,40.0799980163574,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.96230006217956,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489387,0,23.9183158874512,3,0,0,0,0.06593406945467,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.52395606040955,0,1,0.13054946064949,3.21699643135071,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.5368499755859,1.28131866455078,0.564102590084076,0.435164868831635,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.199996948242,40.0799980163574,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.96230006217956,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489437,0,23.9183158874512,3,0,0,0,0.0669108703732491,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.52395606040955,0,1,0.13054946064949,3.21699643135071,0,0,0,0,0,-10000,-10000,-10000,52.0559234619141,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4290761947632,24.6166305541992,0.24175825715065,0.153113558888435,0.0805860832333565,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.300000011920929,100.199996948242,30.0599994659424,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.23040008544922,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489488,0,23.9183158874512,3,0,0,0,0.0669108703732491,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.6399998664856,0,1,0.145054951310158,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.97476863861084,12.4290761947632,24.6077671051025,0.0322344340384007,1.17655682563782,0.306227117776871,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.300000011920929,100.199996948242,30.0599994659424,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.23040008544922,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489538,0,23.9183158874512,3,0,0,0,0.0671550706028938,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.6399998664856,0,1,0.145054951310158,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.8861389160156,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4179840087891,24.6166305541992,0.0967033058404922,2.07912111282349,0.0564102604985237,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.199996948242,40.0799980163574,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.23040008544922,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489589,0,23.9183158874512,3,0,0,0,0.0671550706028938,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.45142841339111,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,52.0219268798828,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4179840087891,24.6609535217285,0,1.40219783782959,1.94212460517883,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.199996948242,40.0799980163574,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.23040008544922,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134489639,0,23.9183158874512,3,0,0,0,0.0671550706028938,0,1,1,0,0.654945075511932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.45142841339111,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.97238254547119,12.4068918228149,24.7673263549805,0.00805860850960016,1.03150188922882,0.128937736153603,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0.400000005960464,100.199996948242,40.0799980163574,31,57,57,27.8999996185303,48.7000007629395,3,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.23040008544922,2.93070006370544,2.9284999370575,2.94120001792908,3.00049996376038,2.99119997024536,3.07879996299744,3.207200050354,3.21569991111755,3.21009993553162,3.21720004081726,3.1939001083374,3.22079992294311,3.22239995002747,3.22519993782044,3.22189998626709,3.22510004043579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
